Date,Open,High,Low,Close,Adj Close,Volume
2020-06-05,2.525010,2.537015,2.240896,2.320928,2.320928,534036
2020-06-08,2.300920,2.448980,2.240896,2.388956,2.388956,314624
2020-06-09,2.312925,2.464986,2.284914,2.320928,2.320928,125700
2020-06-10,2.352941,2.412965,2.256903,2.296919,2.296919,140944
2020-06-11,2.224890,2.288916,2.052821,2.152861,2.152861,146441
2020-06-12,2.128852,2.352941,2.088836,2.256903,2.256903,68723
2020-06-15,2.280912,2.396959,2.124850,2.352941,2.352941,215914
2020-06-16,2.316927,2.501000,2.240896,2.392957,2.392957,166933
2020-06-17,2.444978,2.472989,2.348940,2.412965,2.412965,149690
2020-06-18,2.356943,2.476991,2.308924,2.412965,2.412965,303629
2020-06-19,2.669068,3.425370,2.260904,2.721088,2.721088,3385145
2020-06-22,2.597039,2.601040,2.360944,2.436975,2.436975,446321
2020-06-23,2.400960,2.424970,2.300920,2.392957,2.392957,260146
2020-06-24,2.344938,2.400960,2.232893,2.400960,2.400960,234906
2020-06-25,2.400960,2.545018,2.400960,2.488996,2.488996,213665
2020-06-26,2.484994,2.529012,2.340936,2.372949,2.372949,88465
2020-06-29,2.689076,2.881152,2.513005,2.653061,2.653061,1399190
2020-06-30,2.653061,2.653061,2.521008,2.569028,2.569028,291883
2020-07-01,2.561024,2.681072,2.533013,2.681072,2.681072,247901
2020-07-02,2.689076,2.781112,2.593037,2.605042,2.605042,171931
2020-07-06,2.669068,2.881152,2.641056,2.877151,2.877151,258147
2020-07-07,2.873149,3.101240,2.865146,2.965186,2.965186,290884
2020-07-08,2.909164,2.957183,2.785114,2.801120,2.801120,137195
2020-07-09,2.789116,2.861144,2.741096,2.797119,2.797119,138445
2020-07-10,2.781112,3.201281,2.769108,3.133253,3.133253,517543
2020-07-13,3.201281,3.641457,3.189276,3.437375,3.437375,910886
2020-07-14,3.781513,3.921569,3.565426,3.833533,3.833533,1039584
2020-07-15,3.925570,4.001601,3.305322,3.453381,3.453381,1178029
2020-07-16,3.745498,4.241697,3.653461,4.001601,4.001601,2462515
2020-07-17,4.089636,4.745898,4.037615,4.537815,4.537815,2340064
2020-07-20,4.757903,5.046018,4.541817,4.897959,4.897959,1916483
2020-07-21,4.757903,4.793918,3.973589,4.641857,4.641857,1542633
2020-07-22,4.365746,4.429772,3.961585,3.981593,3.981593,1047081
2020-07-23,4.137655,4.201681,3.473389,3.521409,3.521409,1069822
